epoch,train_loss,val_loss,rel_l2,data,continuity,curl,epoch_time,lr
1,0.018955286764442764,0.11956305311291249,3.027010539576745,0.01572332919749897,0.0,0.0,153.1005609035492,2.8284271247461902e-05
2,0.007752584392922775,0.05154728922847804,1.9342053133493384,0.0061265481417649426,0.0,0.0,146.38706755638123,7.919595949289332e-05
3,0.006345906556816772,0.027732667476906406,1.3704145419954932,0.004993413407646585,0.0,0.0,146.2634301185608,0.00013010764773832472
4,0.005219642117784436,0.017821107814451318,1.0657126343180843,0.004020615809470958,0.0,0.0,147.4102554321289,0.00018101933598375613
5,0.003939748681053364,0.012898041330906865,0.8830822938866846,0.0028171408879037094,0.0,0.0,148.0766043663025,0.00023193102422918753
6,0.003440510109309495,0.01003487848301793,0.7636681725673242,0.002323776753958858,0.0,0.0,146.98889636993408,0.000282842712474619
7,0.002821403500396021,0.008116337292912331,0.6748392345106168,0.001820175334311595,0.0,0.0,146.0955593585968,0.000282842712474619
8,0.002453188614405614,0.0067159982742862655,0.6036289842145269,0.0015615920768444387,0.0,0.0,145.92603826522827,0.000282842712474619
9,0.002130527841776105,0.005575626628933015,0.54227518666861,0.0013601661570040353,0.0,0.0,146.60805535316467,0.000282842712474619
10,0.0018748788855494543,0.0047083509889395015,0.4931100095934909,0.0011525805575729464,0.0,0.0,146.93717861175537,0.000282842712474619
11,0.001754163378791418,0.00402213267365156,0.45137490924236795,0.0010569737639040493,0.0,0.0,146.4079532623291,0.000282842712474619
12,0.0016873327610179938,0.00349978068480631,0.41658945073007697,0.0010348726915860122,0.0,0.0,146.77012610435486,0.000282842712474619
13,0.0016576716437460466,0.0030272792365595505,0.3847689624076619,0.0009921694296887533,0.0,0.0,147.28128361701965,0.000282842712474619
14,0.0014435246548600844,0.0026745643147702827,0.35866224657217455,0.0008728468468082914,0.0,0.0,146.69283604621887,0.000282842712474619
15,0.001476818746899274,0.0023968674543362063,0.33627246431861196,0.0009202178149886701,0.0,0.0,147.94224309921265,0.000282842712474619
16,0.0014476172464128467,0.0021730471754676435,0.3177294061885604,0.00091613072133138,0.0,0.0,146.6702105998993,0.000282842712474619
17,0.00132370207090086,0.0019705417946997016,0.3005086146190422,0.0007807430127589517,0.0,0.0,146.84174418449402,0.000282842712474619
18,0.001265794688454965,0.0017978339436367252,0.2860573148525904,0.0007677767563715557,0.0,0.0,146.6457896232605,0.000282842712474619
19,0.0012809066189826506,0.0016675237542042485,0.2744241817811571,0.000767144964356703,0.0,0.0,146.40840578079224,0.000282842712474619
20,0.001150010557466885,0.0015574097970512684,0.2638820866357606,0.0006718492833594306,0.0,0.0,147.33816480636597,0.000282842712474619
21,0.0010461843955151078,0.0014413626837338526,0.25398705130148846,0.0006123941775513231,0.0,0.0,146.88366436958313,0.000282842712474619
22,0.0010371728121754131,0.0013468306003646417,0.24557197306775277,0.0005980744178183764,0.0,0.0,146.43050265312195,0.000282842712474619
23,0.0010352759739665391,0.0012868169432070542,0.23801460452890483,0.0005975940839562099,0.0,0.0,147.77338576316833,0.000282842712474619
24,0.0009644204495392236,0.0012010917735026012,0.23096088138411733,0.0005480224588912582,0.0,0.0,146.27553367614746,0.000282842712474619
25,0.0010216744361362846,0.001153490430593805,0.2241630274510578,0.0005816229575733208,0.0,0.0,147.01052689552307,0.000282842712474619
26,0.000999481442098234,0.0010983931611279968,0.2191198875575419,0.000604591057253856,0.0,0.0,147.82575273513794,0.000282842712474619
27,0.0008733629614046853,0.0010348595294786933,0.21305538496642815,0.000480082516787661,0.0,0.0,147.19210124015808,0.000282842712474619
28,0.000906942371026768,0.001003348182844506,0.2076534898378445,0.0005242946469176483,0.0,0.0,147.76756596565247,0.000282842712474619
29,0.00082411859966669,0.000937703784778956,0.20283924772909467,0.00045694236867651245,0.0,0.0,147.18874621391296,0.000282842712474619
30,0.0007603718217978894,0.0008964000323442621,0.19730881407462444,0.0004256964274039395,0.0,0.0,145.82144021987915,0.000282842712474619
31,0.0008498204094091003,0.0008702341795221648,0.1928832124614554,0.00048069860539120174,0.0,0.0,147.3282129764557,0.000282842712474619
32,0.0008570587039381886,0.0008267620854327673,0.18962757267462332,0.0005195118910705787,0.0,0.0,147.01289820671082,0.000282842712474619
33,0.0008583086085612498,0.0007988601851930189,0.18623749805902437,0.000469583134114752,0.0,0.0,146.91313409805298,0.000282842712474619
34,0.0008136603282764554,0.000755712775363853,0.18230569755109505,0.0004721668131727104,0.0,0.0,147.5776698589325,0.000282842712474619
35,0.0007895548766706876,0.0007171319508108661,0.1783533788345033,0.0004004724295706789,0.0,0.0,146.5567810535431,0.000282842712474619
36,0.0007327003769811805,0.0006961887861849958,0.17678580240472994,0.00041528345256362326,0.0,0.0,146.71851134300232,0.000282842712474619
37,0.0007326427780753875,0.000681847302612014,0.17353481607200982,0.0003934264336749038,0.0,0.0,146.1871931552887,0.000282842712474619
38,0.0007011113636205361,0.0006494695767488137,0.1693167632080119,0.00038697044025563326,0.0,0.0,147.8779911994934,0.000282842712474619
39,0.0006653820535878671,0.0006279244485262829,0.16730013130924973,0.0003737942314880153,0.0,0.0,146.16395902633667,0.000282842712474619
40,0.0007140003114424568,0.000621716676970835,0.16609195665135384,0.0003968087532181623,0.0,0.0,147.0255582332611,0.000282842712474619
41,0.0007266444654305815,0.0006082162409174172,0.16226739957611264,0.0004034117163579746,0.0,0.0,147.69454836845398,0.000282842712474619
42,0.0006864416069826499,0.0005729056750393968,0.16055252040556392,0.00040189246912329207,0.0,0.0,147.64848828315735,0.000282842712474619
43,0.0007336312536002273,0.0005831559308103056,0.16050150908531166,0.0004067499905886507,0.0,0.0,145.8529770374298,0.000282842712474619
44,0.0006072007887875467,0.0005665778181691013,0.15796095313100667,0.0003481518183434673,0.0,0.0,148.20870876312256,0.000282842712474619
45,0.000633404396315503,0.000559737212697419,0.15530456976814508,0.0003411862872629475,0.0,0.0,147.54495787620544,0.000282842712474619
46,0.0006492055428376867,0.0005454112463419071,0.15417425491759415,0.00034999730595094053,0.0,0.0,147.0148265361786,0.000282842712474619
47,0.0006681225231659482,0.0005429370321602524,0.15191894418511306,0.0003801842505405754,0.0,0.0,147.8019278049469,0.000282842712474619
48,0.0007124119357892292,0.0005152569838055688,0.15071613886149032,0.0003926701417640288,0.0,0.0,147.39306735992432,0.000282842712474619
49,0.0006143357627479418,0.0005127617766530338,0.14964373282601284,0.0003447483525936453,0.0,0.0,147.49357342720032,0.000282842712474619
