epoch,train_loss,val_loss,rel_l2,epoch_time,lr
1,0.07635042603457502,0.19730114427866874,2.5933994053884803,388.6771388053894,2.8284271247461902e-05
2,0.032812582188247084,0.06821257498163681,1.0787193985618257,373.5417265892029,7.919595949289332e-05
3,0.02361892268527299,0.0381083377624874,0.8058193452171267,361.2496154308319,0.00013010764773832472
4,0.02062640462584871,0.025497722398344573,0.723174253552589,361.4681439399719,0.00018101933598375613
5,0.018552539984132938,0.019725749569086286,0.6460045536844854,377.1652641296387,0.00023193102422918753
6,0.017579086149150196,0.016561076994501538,0.5631622270680141,360.14224791526794,0.000282842712474619
7,0.015107639757237242,0.014426727771952554,0.4886001289201932,364.1474266052246,0.000282842712474619
8,0.013888831697840942,0.012596583134168154,0.42482238439491493,365.7183783054352,0.000282842712474619
9,0.013199412719889855,0.011435025678826616,0.3754539015392357,371.44256472587585,0.000282842712474619
10,0.012153250265934426,0.010487336694420158,0.33714976273932407,372.72311425209045,0.000282842712474619
11,0.01179567510735069,0.009724051727877036,0.30518184782957686,367.47792053222656,0.000282842712474619
12,0.011323577192039616,0.008995918040587143,0.280095441633885,363.9904646873474,0.000282842712474619
13,0.010828693750227103,0.008680741403058365,0.261804778491384,367.5613112449646,0.000282842712474619
14,0.010635745666756216,0.008175375802418242,0.24501191511649717,365.74521589279175,0.000282842712474619
15,0.010284480647896999,0.007847212330595432,0.2321868418961556,363.1970467567444,0.000282842712474619
16,0.010191662072732774,0.00762349304731016,0.22237166916557433,373.0197741985321,0.000282842712474619
17,0.009469249599230048,0.007408677154619779,0.21386879152234836,365.25679755210876,0.000282842712474619
18,0.009530016346616321,0.007121698297076411,0.20444949367390883,371.11842036247253,0.000282842712474619
19,0.009360295351143577,0.006987549382104696,0.19861857418090395,365.282940864563,0.000282842712474619
20,0.008936063604172281,0.006780003430926568,0.19243761706608473,374.323650598526,0.000282842712474619
21,0.008750313473380325,0.006615924701554241,0.18700517751685483,360.9279863834381,0.000282842712474619
22,0.008414014374769371,0.006347665788799331,0.18135224554757592,369.50597310066223,0.000282842712474619
23,0.008172833099403457,0.006161417786709287,0.17582293191782605,363.32846570014954,0.000282842712474619
24,0.008359496933432334,0.006039928828136294,0.17146828415574264,378.6058225631714,0.000282842712474619
25,0.007982936958796927,0.005932797444984317,0.1682499365530508,363.75411581993103,0.000282842712474619
26,0.00757736478287067,0.0057705654073264695,0.1642036587277088,368.4809739589691,0.000282842712474619
27,0.007748349509711261,0.005618342248021395,0.16073067038417385,367.1832058429718,0.000282842712474619
28,0.007441996694372695,0.005516932264889603,0.15715388323771645,375.8368704319,0.000282842712474619
29,0.007439095912559424,0.005418543198278972,0.15489960322645685,363.3544108867645,0.000282842712474619
30,0.007138316107254165,0.00531302422539077,0.15193382778078857,365.2607009410858,0.000282842712474619
31,0.006982315378384858,0.005180610230119971,0.1489217833277014,365.39255142211914,0.000282842712474619
32,0.007006028165051248,0.00514457386180565,0.14653358806338954,364.7625410556793,0.000282842712474619
33,0.00681785072144218,0.005031227210367268,0.14468509596809823,362.6751253604889,0.000282842712474619
34,0.006578190084231513,0.0049563357503721855,0.14238826988944725,365.9963369369507,0.000282842712474619
35,0.006638496628511348,0.0049035441184827645,0.14037319217419247,367.00437116622925,0.000282842712474619
36,0.0065633732204635935,0.004824022535694304,0.13861644614603721,366.3205723762512,0.000282842712474619
37,0.006738028710969957,0.004765276352620937,0.13805829403301256,377.8661093711853,0.000282842712474619
38,0.006292256350813356,0.004713675669430719,0.1368725159557042,373.9900360107422,0.000282842712474619
39,0.0063545389499874245,0.00472094022711231,0.13529194948053747,362.9774878025055,0.000282842712474619
40,0.006189718023961177,0.004586050500367563,0.1335812475086478,363.39656805992126,0.000282842712474619
41,0.006250264568734565,0.004532627701190868,0.13207436194248717,362.8444170951843,0.000282842712474619
42,0.005922566350515505,0.004471933327966019,0.13139920693567306,366.62597393989563,0.000282842712474619
43,0.005989088082060334,0.0044488900198976136,0.13012868891984375,363.1080045700073,0.000282842712474619
44,0.006109795979379366,0.004414427033081264,0.12895039164085403,374.656441450119,0.000282842712474619
45,0.0056648919677779,0.004353558077089876,0.12752615217556737,363.8500895500183,0.000282842712474619
46,0.005771405432218065,0.00432448915459893,0.12660559518422954,378.2012505531311,0.000282842712474619
47,0.005736750791887364,0.0042682151591356896,0.12467709772559776,363.1443510055542,0.000282842712474619
48,0.005551831085540471,0.0043048366831688134,0.12391667784412534,373.6702871322632,0.000282842712474619
49,0.005695848164274746,0.0041787059264039835,0.12228690707718357,364.18825006484985,0.000282842712474619
50,0.0053877061351765105,0.004175234719953657,0.12118913603061388,370.60593271255493,0.000282842712474619
51,0.005592324534518411,0.0041486497406013215,0.12010956124972562,365.0964312553406,0.000282842712474619
52,0.00548237749596107,0.00409255984402564,0.11894203690255781,368.78664088249207,0.0002825646363685065
53,0.0054080701496180454,0.004072220570274762,0.11825686645597626,366.5626275539398,0.00028173150548951897
54,0.005281728209411085,0.004020386230950425,0.11672593366620873,366.24911737442017,0.00028034660782461443
55,0.0054108582132054535,0.004012279077009721,0.11614272026882791,370.9378778934479,0.00027841540893217665
56,0.005241056393060717,0.003978632723719075,0.11520809762703703,365.15697503089905,0.0002759455303719534
57,0.0050934372329720645,0.004009586756190213,0.115114713418368,368.86113834381104,0.0002729467196262415
58,0.005057207925953359,0.003887351174451798,0.11339872900468141,365.7105140686035,0.00026943081163102815
59,0.004911213767930652,0.00389616852323827,0.11290851202617383,374.6403172016144,0.00026541168206890473
60,0.005130959927252358,0.0038750113786331247,0.11149190907756452,377.52396416664124,0.00026090519260808743
61,0.004848277423055454,0.003853418161282195,0.11112251479561762,368.5158770084381,0.00025592912830365883
62,0.004860314763391216,0.0038138387277238555,0.11038212426429123,368.03231024742126,0.000250503127408081
63,0.004829169721233484,0.0037887123649238377,0.10909937898776993,366.1211347579956,0.00024464860386798473
64,0.004639849227108546,0.003732643595763615,0.10830626545018,363.9097204208374,0.00023838866281310545
65,0.0047269652047058726,0.0037371590028988655,0.10782724476600385,376.42542910575867,0.0002317480093708917
66,0.004419769854393962,0.003734687954647007,0.10692208793032301,366.10311937332153,0.00022475285116665397
67,0.004441226388128901,0.003662861485711553,0.10578739222960831,366.4156246185303,0.00021743079489404047
68,0.004525440261507659,0.003651782467525888,0.10440684058348418,363.1563284397125,0.00020981073736403002
69,0.0043229756323247175,0.003600316203211422,0.10340096140209053,364.40014266967773,0.00020192275146242036
70,0.004110633048791594,0.003646220867038257,0.10279619916615133,373.7805087566376,0.00019379796746588722
71,0.00405104294592699,0.003576883734445777,0.10123919238607942,364.71429228782654,0.00018546845018500412
72,0.00419816021015625,0.003585301902350764,0.10074320935333292,366.5114679336548,0.00017696707241908428
73,0.00410420302462929,0.0035175903050180574,0.09961386652521861,369.12281370162964,0.0001683273852222598
74,0.003822141423067175,0.003492526244069752,0.09887165322222063,369.27368807792664,0.00015958348549279877
75,0.003893736337280037,0.0034900901715162317,0.09765165598777216,364.34811210632324,0.00015076988140822563
76,0.003802758114337242,0.003436174652502908,0.09632441665676023,368.68392062187195,0.00014192135623730952
77,0.0036928233597185076,0.003415356997956897,0.09549433256604593,371.0422911643982,0.0001330728310663934
78,0.0037190479552009492,0.003409452916594682,0.09453378297991095,368.0041890144348,0.0001242592269818203
79,0.0036181043988108286,0.003385878928223407,0.09371422048672125,363.46625447273254,0.00011551532725235927
80,0.0036329335174135244,0.0033641862809996714,0.09282867539051948,366.9678809642792,0.0001068756400555347
81,0.0034955322938306685,0.003345421232379876,0.0921022637203606,371.9978597164154,9.837426228961493e-05
82,0.003490143829367298,0.0033173978092850415,0.09120465234541947,378.3589744567871,9.004474500873184e-05
83,0.0034764239496022733,0.0033540731924888378,0.09111676223363044,375.7866463661194,8.191996101219864e-05
84,0.0033759616111031696,0.003314687246638169,0.09016660335439254,368.5705876350403,7.403197511058896e-05
85,0.0033663390822766814,0.0032875814172741657,0.08927855389331121,364.8901069164276,6.641191758057848e-05
86,0.0033532582462309315,0.003264894299571971,0.08858483987927818,363.41444873809814,5.9089861307965064e-05
87,0.0032800651188154006,0.0032695626062885313,0.08836459797876893,366.01306343078613,5.2094703103727264e-05
88,0.003230090493161697,0.0032941155546864906,0.08803375638073785,380.98347640037537,4.5454049661513504e-05
89,0.0031959920488588978,0.003245042693535132,0.08705390036746602,365.07033586502075,3.919410860663424e-05
90,0.003182837993032687,0.003240708338229784,0.0865239281520216,364.8745858669281,3.333958506653797e-05
91,0.0031520356748539293,0.0032657761368658634,0.08634109558411812,362.917959690094,2.7913584170960125e-05
92,0.003159915908933423,0.0032664291893265075,0.0858187413707199,368.53813123703003,2.2937519866531545e-05
93,0.0031434393789216606,0.0032516170223545913,0.08530001835291498,363.5463402271271,1.84310304057142e-05
94,0.0031332566028747046,0.0031762275076773648,0.08447505481870171,376.1779613494873,1.4411900843590853e-05
95,0.003118468321796778,0.00317795773841102,0.08427138923205776,374.1598753929138,1.0895992848377461e-05
96,0.003102315214467429,0.0032070794357470685,0.08432781509422944,364.6851546764374,7.89718210266562e-06
97,0.0030889352616820056,0.0031843701017681848,0.08404703578668449,362.30721139907837,5.427303542442347e-06
