epoch,train_loss,val_loss,rel_l2,data,continuity,curl,epoch_time,lr
1,0.014703950193506898,0.03732400095791786,1.61712283848764,0.012360767537757056,0.0,0.0,366.75844526290894,2.8284271247461902e-05
2,0.0038415886527521557,0.011349625580690123,0.8642882631472316,0.002645710759982952,0.0,0.0,365.8729305267334,7.919595949289332e-05
3,0.0023700533593000728,0.005421093662341984,0.5705896833891817,0.0014795870503500435,0.0,0.0,368.72959899902344,0.00013010764773832472
4,0.0019061255831426631,0.00300886373930647,0.3946575638061021,0.001172656972206217,0.0,0.0,377.6960380077362,0.00018101933598375613
5,0.0016048811266197542,0.0019596467329818126,0.3009197552724045,0.0010065920686580891,0.0,0.0,373.0040121078491,0.00023193102422918753
6,0.0014051820076019794,0.0014717711726892982,0.2523027663146871,0.0008805761999231739,0.0,0.0,375.58378434181213,0.000282842712474619
7,0.0010667744171920883,0.0012267662601563596,0.221400939863383,0.0006635751714535824,0.0,0.0,372.99168252944946,0.000282842712474619
8,0.0009128766074203062,0.0010008394420328369,0.20249541457553366,0.0005601362355491801,0.0,0.0,369.3048391342163,0.000282842712474619
9,0.0007935616969613571,0.0008071501966106234,0.18376070334481523,0.0004918474707740946,0.0,0.0,366.0951120853424,0.000282842712474619
10,0.0007125326818974523,0.0007255015317985618,0.1715055478667219,0.0004318194517433464,0.0,0.0,366.61498641967773,0.000282842712474619
11,0.0007515450034058327,0.0005870383001891171,0.1615467853507394,0.00047681564795235926,0.0,0.0,366.8544158935547,0.000282842712474619
12,0.0006258049473899518,0.0005216298126328326,0.15292002900639715,0.00038421774113809687,0.0,0.0,363.7921099662781,0.000282842712474619
13,0.0005838847606203975,0.0004349938381006699,0.14555515737967883,0.0003524647611925502,0.0,0.0,367.2164740562439,0.000282842712474619
14,0.000573071692050083,0.0004169747523295197,0.13929901717426738,0.00035791946226026994,0.0,0.0,365.56439089775085,0.000282842712474619
15,0.0005506383780584656,0.00038363454381892966,0.13425764033221677,0.0003340560706040681,0.0,0.0,365.52262115478516,0.000282842712474619
16,0.0005447895122567085,0.00034104013689279606,0.13018679900127442,0.00034209315365766696,0.0,0.0,368.0844826698303,0.000282842712474619
17,0.0004705622551455235,0.0003215161483476313,0.1263738327104249,0.00028350168846221396,0.0,0.0,367.91910767555237,0.000282842712474619
18,0.00045705563117811227,0.0003206173664445735,0.12246073974762983,0.0002816589945666692,0.0,0.0,371.3366813659668,0.000282842712474619
19,0.00048755733773001947,0.00028479663712235604,0.12017015840006329,0.0002936577385336629,0.0,0.0,369.240797996521,0.000282842712474619
20,0.00044310585618253146,0.000283644818579899,0.11764727061063025,0.0002692855300949759,0.0,0.0,371.55781078338623,0.000282842712474619
21,0.00043491843990750567,0.0002812594932983267,0.11416778650006545,0.0002741034914303479,0.0,0.0,373.9134957790375,0.000282842712474619
22,0.0003594527678387749,0.000253736243663392,0.11110027447322472,0.00021734044441738357,0.0,0.0,367.2729437351227,0.000282842712474619
23,0.00041124424222971356,0.00025622993887193475,0.10990418728959199,0.00024810759423606515,0.0,0.0,366.7912278175354,0.000282842712474619
24,0.00040952990752884944,0.00023437720852338576,0.1061498345712137,0.00024638071177681314,0.0,0.0,367.8089966773987,0.000282842712474619
25,0.0003705631759203243,0.0002313257568113675,0.10465386648471399,0.00021377018958901317,0.0,0.0,362.6861333847046,0.000282842712474619
26,0.0003411461438721138,0.00021977038428870743,0.102565349197228,0.0001984587898012554,0.0,0.0,365.83682322502136,0.000282842712474619
27,0.0003394252381857162,0.00019726452155737205,0.1002416184180867,0.00020842545765731302,0.0,0.0,364.8254933357239,0.000282842712474619
28,0.0003092289047306925,0.00021907253766904113,0.09845248012338591,0.00018604735693846428,0.0,0.0,361.9488191604614,0.000282842712474619
29,0.000321973105599227,0.00022280699488035608,0.0981680632847232,0.00018795968828536994,0.0,0.0,364.36354327201843,0.000282842712474619
30,0.000291603556301349,0.00017300401262443078,0.0949310965741255,0.00016855291876064862,0.0,0.0,368.6377909183502,0.000282842712474619
31,0.0002969679754869503,0.0001910938810089954,0.09370379409056293,0.00017481692055791123,0.0,0.0,368.28575348854065,0.000282842712474619
32,0.0003302824069730074,0.00017083914041089788,0.09295080496757148,0.00020328265431620215,0.0,0.0,368.6577477455139,0.000282842712474619
33,0.00027758795658883173,0.00016521899733207092,0.09168061687286001,0.00016270324448441897,0.0,0.0,375.3381712436676,0.000282842712474619
34,0.000303690155097532,0.00019679880926276667,0.09100954137052893,0.00017650007455927152,0.0,0.0,366.92773818969727,0.000282842712474619
35,0.00026979149811268144,0.00015141186728663802,0.08890205845981607,0.00015483578887180252,0.0,0.0,370.79232120513916,0.000282842712474619
36,0.00024303249995227816,0.00015078253974887094,0.08794263148294636,0.00014189609491192337,0.0,0.0,362.36039638519287,0.000282842712474619
37,0.0002605117716711902,0.0001518546391955831,0.08723021341977019,0.00015797430283252348,0.0,0.0,365.1899015903473,0.000282842712474619
38,0.00025262888630095404,0.00014651343940799547,0.08547913934277915,0.0001456677236149062,0.0,0.0,369.298082113266,0.000282842712474619
39,0.0002840511144673504,0.00013967237022158074,0.0849136355860924,0.00015801194655296058,0.0,0.0,368.85499024391174,0.000282842712474619
40,0.00023320474481162515,0.00014190927200592366,0.08405850757902124,0.00013293493475430296,0.0,0.0,370.02283692359924,0.000282842712474619
41,0.00025061803684896705,0.00016720354687059662,0.0828921285963737,0.0001369961430270905,0.0,0.0,368.08132123947144,0.000282842712474619
42,0.00023759786900730737,0.00015037526924982546,0.08245788696697488,0.0001325754744243568,0.0,0.0,374.53966069221497,0.000282842712474619
43,0.00022278925199733143,0.00013543141557148647,0.08091590101944221,0.00012871504197657183,0.0,0.0,368.5328645706177,0.000282842712474619
44,0.00021395865443688913,0.0001674120712801572,0.08215774715975131,0.00012954934846239516,0.0,0.0,369.1793990135193,0.000282842712474619
45,0.0002197170287653686,0.000132622425848854,0.0795295639205675,0.00012517716177740112,0.0,0.0,370.0393829345703,0.000282842712474619
46,0.00020159089209907202,0.00012165218322952096,0.07848036815475018,0.00011945601310496083,0.0,0.0,370.1273102760315,0.000282842712474619
47,0.0002164506718050537,0.0001178955615236569,0.07763975230093974,0.00011635489335048987,0.0,0.0,374.6908829212189,0.000282842712474619
48,0.00023158588588974757,0.00013086329784634367,0.07819653607654277,0.00011951427737244558,0.0,0.0,364.858717918396,0.000282842712474619
